MeanR,StdR,MeanG,StdG,Kappa,Sample ID,Volume_Fraction
4.5337,0.49202,4.84,0.54764,0.17713,164,0.34234
16.111,0.65942,1.2753,0.12776,0.55349,165,0.38315
3.6651,0.07085,8.9398,0.13117,0.23265,166,0.22578
18.989,1.6606,0.12551,0.0011507,3.4366,167,0.24724
3.5464,0.14687,2.8201,0.6921,7.9631,168,0.35076
7.546,1.0868,0.14834,0.011104,141590000.0,169,0.42601
23.585,1.2623,0.11118,0.0034709,6.8686e-05,170,0.19934
5.2245,0.88307,0.14458,0.011954,2.5509,171,0.30694
14.081,3.6858,0.65352,0.1218,9.7013,172,0.45871
27.847,0.13726,0.27182,0.031273,0.24927,173,0.31152
5.7679,0.19097,0.16976,0.0076334,0.98552,174,0.28748
6.6086,0.26045,0.24019,0.039049,365.54,175,0.40341
11.312,1.8967,2.6904,0.056051,8.3634,176,0.41103
14.029,0.26571,0.38093,0.077436,0.23565,177,0.36014
5.1474,0.38516,0.32857,0.10103,6.7433e-05,178,0.35903
3.0198,0.0028946,6.729,0.37716,0.26153,179,0.25573
3.6838,0.045091,1.0584,0.45112,3.5834,180,0.37754
3.3967,0.089742,5.9864,0.57346,2.374,181,0.27569
5.743,0.034484,0.24122,0.021979,0.46516,182,0.31865
3.9872,0.18938,0.20385,0.019093,0.38611,183,0.29804
10.562,3.15,0.21008,0.022401,5.8629,184,0.3384
5.2393,0.76964,2.3442,0.76673,3.9614,185,0.40827
8.5033,2.4812,0.11288,0.00070429,2.909e-10,186,0.24635
3.6627,0.17752,0.36921,0.10384,2.873,187,0.35038
4.5307,0.085937,2.0986,0.01522,4372900000.0,188,0.39039
3.9825,0.21759,0.37414,0.13032,1.1127e-06,189,0.33334
5.9658,0.87748,0.16797,0.021578,43.001,190,0.40803
17.011,3.3287,0.31459,0.016045,1.593,191,0.38802
3.4406,0.014351,1.3804,1.1944,0.40198,192,0.35198
4.213,0.15451,3.5308,0.95227,0.012689,193,0.33553
6.0288,0.0058047,2.0041,0.96323,3.661,194,0.36976
16.164,0.61993,0.35341,0.052161,14131.0,195,0.40509
4.1408,0.046731,1.5725,0.77869,553640000.0,196,0.3879
6.4045,0.61583,2.889,1.1887,0.11948,197,0.37945
7.2886,1.6693,5.3857,0.72303,170140.0,198,0.4416
5.7337,0.095482,0.51915,0.014924,1.853e-08,199,0.38107
3.9416,0.20102,3.1565,1.0676,0.11513,200,0.34461
6.9277,1.5595,0.46389,0.028177,2.8298,201,0.43229
3.0203,0.0061966,0.19309,0.012756,1.7919,202,0.27225
9.8914,1.6212,2.6474,0.20153,0.18701,203,0.40292
3.2719,0.030819,6.6449,0.0081507,4568600000.0,204,0.35995
4.6755,0.36608,5.8347,0.68922,0.5343,205,0.31392
3.2337,0.023039,0.19769,0.0059021,0.00024677,206,0.25247
3.2843,0.07836,2.6606,0.030715,5.1842,207,0.3522
8.2961,0.29947,0.36811,0.03298,9.2607,208,0.3859
3.5494,0.105,2.814,0.21954,5.1878e-07,209,0.34857
13.706,1.6283,0.163,0.00031946,0.1021,210,0.29799
15.382,2.7792,0.22255,0.01094,1.2055e-09,211,0.35202
9.1914,2.7941,0.24878,0.017782,0.00043302,212,0.34811
3.1944,0.038348,5.2064,0.91128,8.2385,213,0.30814
23.749,0.86618,0.66008,0.21662,0.71696,214,0.38994
20.426,0.99745,0.79601,0.27936,32177000.0,215,0.40433
13.315,1.093,6.1028,0.54268,0.00056694,216,0.30686
10.48,2.3848,0.3664,0.13175,3011.6,217,0.46064
6.7561,0.98592,3.8199,0.5979,1.3016,218,0.37334
17.234,2.2503,0.45519,0.038407,46.767,219,0.43198
14.603,0.40079,0.19062,0.025394,1.2621,220,0.29626
6.1424,0.16246,0.13247,0.012188,18.456,221,0.31641
4.8234,0.18048,3.2824,0.98058,0.43868,222,0.35495
3.2586,0.0049412,0.21376,0.022777,7.6184e-06,223,0.25439
12.971,2.6861,2.652,0.34436,0.80778,224,0.415
6.1749,0.91503,0.23562,0.010531,7.2382e-07,225,0.35821
15.152,1.7418,0.46992,0.21167,1.478,226,0.39205
15.403,0.047606,0.49663,0.08401,9.9236e-09,227,0.36981
11.311,0.46983,3.006,0.22087,0.11264,228,0.36295
27.312,0.15766,2.9879,0.12528,1.9729e-07,229,0.34835
9.7157,2.2291,3.166,0.23366,210730000.0,230,0.44946
6.3751,0.13799,0.28448,0.071853,1.002e-05,231,0.33176
4.5722,0.54199,0.57066,0.20122,7885.6,232,0.43897
13.317,0.13463,0.53481,0.15019,4783.1,233,0.40139
6.2892,0.35917,0.43954,0.14939,6.7612e-06,234,0.37623
7.6221,0.9043,2.1142,0.89432,1.8184e-09,235,0.40099
3.6076,0.068168,5.0658,0.95458,0.0012598,236,0.29408
3.9649,0.2013,0.14056,0.013599,1.6212e-08,237,0.25391
4.4134,0.29966,0.5492,0.16472,0.10388,238,0.3958
4.8013,0.3129,0.19983,0.011827,0.36398,239,0.31569
3.2397,0.0042078,3.9533,0.78765,1.049,240,0.31551
14.031,2.4657,0.10605,0.00055761,1.8348e-05,241,0.25554
3.4475,0.040513,0.22343,8.4534e-05,200070000.0,242,0.35786
4.9001,0.7246,0.39854,0.12698,0.00014408,243,0.39509
15.342,1.0867,0.30106,0.090055,0.0022615,244,0.33966
7.9558,0.15053,2.0664,0.6163,2.7025,245,0.37576
4.2103,0.10019,5.9696,0.8187,1.2896e-10,246,0.27317
16.35,2.8131,1.9829,0.096714,2.5278,247,0.41772
7.4145,0.76761,9.2272,0.092261,0.38798,248,0.26122
3.3975,0.063646,1.5575,1.1877,0.38623,249,0.35763
